섹터,소분류1,소분류2,소분류3,기업 
건설용 ,부품,,,"진성티이씨, 동일금속, 대창단조, 디와이파워, 흥국, 프리엠스"
건설용 ,장비,,,"두산밥캣, 두산에너빌리티, HD현대인프라코어, HD현대건설기계, 수산종공업, 현대에버다임, 대모, 스페코, 수성웹툰, 전진건설로봇"
건설용 ,유통,,,혜인
산업용 ,기계,,,"DN오토모티브, 삼익THK, 에이비프로바이오, 스맥, 화천기계, 모델솔루션, 화천기공, 대성하이텍, 무진플라임, 협진, 넥스턴바이오,에이치케이, 한국정밀기계"
산업용 ,철도,,,"현대로템, 대아티아이, 다원시스, 중앙첨단소재"
산업용 ,농기계,,,"TYM, 대동, 아세아텍"
산업용 ,소방 설비,,,파라텍
산업용 ,엘리베이터,,,현대엘리베이터
방위산업,,,,"한화에어로스페이스, 한국항공우주, LIG넥스원, 한화시스템, 아이쓰리시스템, 아스트, 이노스페이스, 켄코아에어로스페이스, 퍼스텍, 빅텍, 컨텍, 휴니드, 제노코,기산텔레콤, 코츠테크놀로지, 이엠코리아, 하이즈항공, 웨이비스, 루미르, 한화인더스트리얼솔루션즈, RF시스템즈"
자동화,스마트팩토리,,,"포스코DX, 에스에프에이, 디와이피엔에프, 현대무벡스, 톱텍, 유일로보틱스, 에스엠코어, 에스피시스템스, TPC, 제니스"
자동화,로봇,,,"두산로보틱스, 레인보우로보틱스, 휴림로봇, 씨피시스템, 로보티즈, 로보스타, 유진로봇, 알에스오토메이션, 피앤메스미캐닉스, 뉴로메카, 티로보틱스, 엔젤로보틱스, 케이엔알시스템, 씨메스, 클로봇"
자동화,로봇,감속기,,"에스피지, 하이젠알앤엠, 에스비비테크, 해성에어로보틱스"
부품,,,,"염풍정밀, 와이지-원, 우진, 한신기계, 코메론, 케이피에프, 티에스넥스젠, 제일연마, 기신정기, 우림피티에스, 부스타, 대동기어, 에이테크솔루션, 대창솔루션, 신진에스엠, 에너토크, 유진테크놀로지, 서암기계공업"
부품,관 이음쇠,,,"태광, 비엠티, 하이록코리아, 성광번드, 디케이락, 한선엔지니어링"
부품,밸브,,,"화성밸브, 에썬테크, 포메탈, 스톰테크"
웨이퍼 연마 ,,,,"케이씨텍,솔브레인"
세정,과산화수소 ,,,한솔케미칼
포토 ,펠리클,,,에프에스티
포토 ,마스크,,,에스앤에스텍
포토 ,케미컬,,,"동진쎄미켐, 이엔에프테크놀로지, 와이씨켐, 퓨릿"
식각,쿼츠,,,"원익QnC, 비씨엔씨"
식각,링,,,"티씨케이, 하나머티리얼즈, 월덱스, 케이엔제이"
식각,케미컬,,,"솔브레인, 램테크놀러지, 이엔에프테크놀로지"
증착,전구체,,,"레이크머티리얼즈, 디엔에프, 메카로, 제이아이테크"
증착,케미컬,,,"한솔케마칼, 이엔에프테크놀로지, 램테크놀러지"
테스트 ,세라믹,,,샘씨엔에스
테스트 ,프로브 카드,,,"피엠티, 테에스이, 마이크로투나노"
테스트 ,소켓,,,"리노공업, 마이크로컨텍솔, ISC, 오킨스전자, 메가터치"
패키징,와이어,,,엠케이전자
패키징,솔더블,,,"덕산하이메탈, 비케이홀딩스"
패키징,리드 프레임,,,"해성디에스, HLB이노베이션"
기타,필터,,,"젬백스,에코프로에이치엔"
기타,부품 소재,,,"아스플로, KX하이텍, 그린리소스"
기타,특수 가스 ,,,"원익머트리얼즈, 후성, 케이엔더블유, 티이엠씨"
열처리,,,,HPSP
현상,,,,"더코디,워트"
식각,,,,"피에스케이, 브이엠"
세정,,,,"코미코, 미코, 제우스, 한솔아이원스, 아이엠티"
증착,,,,"원익IPS, 주성엔지니어링, 유진테크, 테스, 뉴파워프라즈마, 지오엘리먼트"
패키징,,,,"한미반도체, 아이원플러스, 프로텍, 레이저쎌, 다원넥스뷰"
검사,,,,"넥스틴, 유니테스트, 와이씨, 테크윙, 기가비스, 인텍플러스, 디아이, 네온테크, 네오셈, 엑시콘, 티에프이, 제이티, 제너셈, 성우테크론, 미래산업"
설비,,,,"한양이엔지, 신성이엔지, 케이씨, 케이앤솔, 세보엠이씨, 엑사이엔씨"
기타 ,진공,,,"엘오티베큠, 제이엔비"
기타 ,레이저,,,"이오테크닉스, 코세스"
기타 ,장비 중고 매매,,,"서플러스글로벌, 러셀"
기타 ,계측,,,"오로스테크놀로지, 파크시스템스"
기타 ,자동화,,,"에스티아이, 리온테크, 씨엔지하이테크, 로체시스템즈, 싸이맥스, 티이엠씨씨앤에스, 아진엑스텍"
기타 ,"스크러버, 칠러",,,"에프에스티, 유니셈, GST, 지앤비에스 에코"
기타 ,기타 ,,,"한양디지텍, 드텍, 3S, 제이스텍, 저스템, 이엘씨"
IDM,,,,"삼성전자, SK하이닉스"
설계 ,팹리스,DDI,,"LX세미콘, 아나패스, 엘디티, 웰컵스하이텍, 사피엔반도체"
설계 ,팹리스,센서 ,,"오디텍, 픽셀플러스, 이미지스, 지니틱스"
설계 ,팹리스,IP 벤더 ,,"칩스앤미디어, 오픈엣지테크놀로지, 퀄리타스반도체"
설계 ,팹리스,차량,,"텔레칩스, 앤씨앤, 넥스트칩"
설계 ,팹리스,메모리,,"제주반도체, 피델릭스"
설계 ,팹리스,AF 드라이버 ,,동운아나텍
설계 ,팹리스,MCU,,어보브반도체
설계 ,팹리스,디스플레이,,라온텍
설계 ,팹리스,AP IC,,케이알엠
설계 ,팹리스,통신,,"아이엔씨, 아이언디바이스"
설계 ,디자인하우스,,,"에이디테크놀로지, 가온칩스, 에이직랜드"
제조,파운드리,,,DB하이텍
제조,OSAT,테스트,메모리,"에이팩트, 원팩"
제조,OSAT,테스트,비메모리,"하나마이크론, 두산테스나, 네패스아크, 아이비, 큐알티, 에이엘티"
제조,OSAT,패키징,,"네패스, LB세미콘, 하나마이크콘, 시그네틱스, 아이원플러스, LB루셈, SFA반도체, 테크엘"
유통 ,,,,"KEC, 유니퀘스트, 유니트론텍, 매커스, 미래반도체, 파두"
발전,운영,,,"한국전력, 지역난방공사, SGC에너지"
발전,원자력,,,"한전기술, 오르비텍, 우리기술"
발전,태양광,,,"한화솔루션, OCI, HD현대에너지솔루션, SDN, 에스에너지, 캐리, 파루"
발전,풍력,플랜트,,"SK오션플랜트, 대명에너지, 유니슨, DGP"
발전,풍력,부품,,"씨에스윈드, 동국5&C, 씨에스베어링, 태웅"
발전,기자재,,,"비에이치아이, 삼영엠텍, 에어레인"
발전,바이오,,,"제이씨케미칼, 지오릿에너지, 에코바이오, 에스아이리소스, DS단석"
발전,"정비, 관리 ",,,"한전KPS, 한전산업, 수산인더스트리, 일진파워, 금화피에스시, 우진엔텍"
전기,기자재,가정용,,제일일렉트릭
전기,기자재,철 구조물,,보성파워텍
전기,기자재,비상 발전기,,지엔씨에너지
전기,기자재,금구류,,"제룡산업, 세명전기"
전기,기자재,계량기 ,,"피에스텍, 누리플렉스, 옴니시스템"
전기,기자재,전선,,"대한전선, 일진전기, 가온전선, LS에코에너지, 대원전선, 서남"
전기,송수배전,,,"LS ELECTRIC, HD헌대일렉토리, 효성중공업, 산일전기, 제룡전기, 광명전기, 서전기전, 지투파워, 피앤씨데크"
전기,저장장치,,,"두산퓨얼셀, 비츠로셀 , 비츠로테크, 서진시스템 , 범한퓨얼셀, 에스퓨얼셀"
전기,유틸리티,,,그리드위즈
가스,도시가스,,,"한국가스공사, 예스코홀딩스, 대성에너지, 지에스이, 서울가스, 경동도시가스 , 인천도시가스, 삼천리"
가스,LPG,,,"SK가스, E1"
모듈,,,,"현대모비스, 현대위아"
보디 ,헤드램프,,,"에스엠, 에코볼트"
보디 ,고무,,,"DRB동일, 동일고무벨트, 평화산업, 화승코퍼레이션, 화승알앤에이, 동아화성"
보디 ,차체,,,"명신산업, 성우하이텍, 서연이화, 엠에스오토텍, 피에이치에이, 아진산업, 에코플라스틱, 삼보모터스, 세원몰산, 네오티스, 동원금속, 우신시스템, 일지테크, 세동, 세원정공"
보디 ,시트,,,"이원컴포텍, 대원산업, 현대공업, 계양전기, SG글로벌, 일정실업, 대유에이텍, 아이원, SG&G, 두올"
보디 ,내외장재,,,"엔브이에이치코리아, 케이비아이동국실업, 한국큐빅, 삼영무역, 휴림에이텍, 덕양산업, BGF에코머티리얼즈, HDC현대EP, GH신소재"
섀시,"타이어, 휠",,,"한국타이어앤테크놀로지, 넥센타이어, 금호타이어, 다이나믹디자인, 핸즈코퍼레이션"
섀시,엔진,,,"SNT모티브, 모토닉, 유니테크노, 인지컨트를스, 유라테크, 에스엠벡셀, 유성기업, 동양피스톤, CBI, 태원물산, 캐스텍코리아, 대동금속, 한주라이트메탈"
섀시,동력 전달 장치,,,"SNT다이내믹스, 디아이씨, 한일단조, 유니크, 지엠비코리아, 한국무브넥스, 삼기, 경창산업, 체시스, 네오오토, 디와이씨, 서진오토모티브, 오리엔트정공, 씨티알모빌리티"
섀시,"조향, 제동, 현가 장치",,,"HL만도, 우수AMS, 오스템, KB오토시스, 새론오토모티브, 화신, 상신브레이크, 화신정공, DH오토리드"
전자 장치,,,,"한국단자, 아이에이, 에코캡, 오비고, 이지트로닉스, 엣지파운드리, 모베이스전자, 영화테크, 모베이스, 에스오에스랩, 삼현, 인팩, 티메이치엔, 라닉스, 미디어젠, 스마트레이더시스템, 탑런토탈솔루션"
공조 장치,,,,"한온시스템, 우리산업, 삼성공조, 폴라리스세원, 아진전자부품, 성창오토텍"
인포테인먼트,음향,,,"에스텍, DH오토웨어"
인포테인먼트,영상,,,"팅크웨어, 모트렉스, 유비벨록스, 모바일어플라이언스, 파인디지털, 백금T8A"
기타 ,,,,"세방전지, 대원강업, SJG세종, 삼원강재, SJM, 코리아에프티, 구영테크, 영화금속, 디젠스, 대성파인텍, 와이엠, 서연탑메탈, 태양금속, 팬스타엔터프라이즈, 풍강"
제조사,,,,"현대차, 기아, KG모빌리티 "
전기차 ,배터리 ,배터리 제조사 ,,"LG에너지솔루션, 삼성SDI, SK이노베이션 "
전기차 ,배터리 ,소재 ,양극재,"에코프로비엠, 에코프로머티, 엘앤에프, 코스모신소재, 대보마그네틱, 에코앤드림, DI동일, 삼아알미늄"
전기차 ,배터리 ,소재 ,음극재 ,"포스코퓨처엠, 대주전자재료, 나노신소재, 롯데에너지머티리얼즈, 솔루스첨단소재"
전기차 ,배터리 ,소재 ,전해액,"천보, 동화기업, 엔켐, 켐트로스, 티엔엔터테인먼트"
전기차 ,배터리 ,소재 ,분리막,"SK아이이테크놀로지, 더블유씨피"
전기차 ,배터리 ,소재 ,"캡, 팩","상아프론테크, 신흥에스이씨, 상신이디피, 나라엠앤디, 삼기이브이, 에이에프더블류, 알멕"
전기차 ,배터리 ,소재 ,기타,"테이팩스, 탑머티리얼, 신성에스티, 이닉스"
전기차 ,배터리 ,장비,열처리,원준
전기차 ,배터리 ,장비,전극 ,"피엔티, 씨아이메스, 필옵틱스, 강원에너지, 티에스아이, 지아이텍, 에이치와이티씨, 윤성에프앤씨, 제일엠맨에스"
전기차 ,배터리 ,장비,조립,"하나기술, 엠플러스, 유일에너테크, 나인테크, 필에너지, 한빛레이저, 피엔티엠에스"
전기차 ,배터리 ,장비,테스트,"엔시스, 브이원텍, 이노메트리, 자비스, 민테크, 아이비젼웍스"
전기차 ,배터리 ,장비,활성화,"원익피앤이, 에이프로"
전기차 ,배터리 ,장비,자동화,"코윈테크, 케이엔에스, 엠오티"
전기차 ,배터리 ,부품,,"한중엔시에스, 와이엠텍, 성우"
전기차 ,배터리 ,리사이클링,,"성일하이텍, 코스모화학, 새빗켐"
전기차 ,수소전기차,,,일진하이솔루스
유통,용품,,,오토앤
유통,중고차,,,케이카
유통,렌털,,,"롯데렌탈, 레드캡투어"
유통,수입차 ,,,"코오롱모빌리티그룹, 도이치모터스, CNH"
특수차,,,,"KR모터스, 이엔플러스, 오텍"
선박,,,,"삼성중공업, 한화오션, HD현대중공업, HD한국조선해양, HD현대미포"
기자재 ,엔진,,,"HD현대마린솔루션, 한화엔진, HD현대마린엔진, STX엔진, 케이에스피, 케이프, 인화정공, 에스앤더블류"
기자재 ,설비,소화장치,,엔케이
기자재 ,설비,조명,,대양전기공업
기자재 ,설비,통신장비,,삼영이엔씨
기자재 ,설비,크레인,,KS인더스트리
기자재 ,설비,평형수 처리장치,,한라IMS
기자재 ,설비,블록,,"현대힘스, 메디콕스"
기자재 ,설비,보냉재,,"한국카본, 동성화인텍"
기자재 ,설비,파이프스풀,,"동방선기, 일승"
기자재 ,설비,데크하우스 ,,"세진중공업, 오리엔탈정공"
제품,가전,,,"LG전자, 에브리봇, 하츠, 파세코, 위닉스, LK삼양, 남성, 아남전자, 더테크놀로지, 신일전자, PN풍년, 자이글, 인터엠, 에이디칩스"
제품,산업,콘덴서,,"삼성전기, LS머트리얼즈, 삼화콘덴서, 삼화전기, 코칩, 삼영전자, 뉴인텍, 삼영에스앤씨, 성문전자, 비나텍, 코칩"
제품,산업,PCB,,"이수페타시스, 대덕전자, 심텍, 코리아써키트, 와이엠티, 티엘비, 아비코전자, 타이거일렉, 화인써키트, 태성, 현우산업, 케이피엠테크, 디에이피, 에이엔피"
제품,산업,검사 장비,,"한울반도체, 고영, 퓨런티어, 펨트론, 코셈, 와이제이링크"
제품,산업,자동화 기기,,"케이씨티, 씨아이테크"
제품,산업,전원 공급 장치,,"와이투솔루선, 동양이엔피, 성호전자, 파워넷 서울전자통신"
제품,산업,기타,,"에스티큐브, 센코, 트루엔, 디티앤씨, 카스, 에이텀, 포인트모바일, 파이버프로, 에이치시티"
제품,사무 ,PC ,,"앱코, 제이씨현시스템, 에스유홀딩스, 에이텍, 피씨디렉트, 주연테크, 우리로, 한국정보공학"
제품,사무 ,프린터,,"신도리코, 빅솔론, 잉크테크, 큐에스아이, 엠젠솔루션, 디지아이, 에이루트, 아이디피, 딜리, 파커스"
부품,가전,,,"신성델타테크, 솔루엠, 새로닉스, 한솔테크닉스, 대동전자, 에스씨디, 삼진, 경인전자, 엔시트론"
